web-scraper-order,web-scraper-start-url,name,original_price,sale_price,reviews,rating
"1668714271-706","https://www.belsimpel.nl/koptelefoons?lang=en&offer%5B0%5D=Black+Friday&pagina=1","Sony WH-1000XM4 Black","€247.00","€227.00","18 verified reviews","Excellent 9.3"
"1668714271-707","https://www.belsimpel.nl/koptelefoons?lang=en&offer%5B0%5D=Black+Friday&pagina=1","Beats Solo3 Wireless Black","€209.95","€187.95","10 verified reviews","Excellent 9.1"
"1668714271-708","https://www.belsimpel.nl/koptelefoons?lang=en&offer%5B0%5D=Black+Friday&pagina=1","Beats Studio3 Wireless White","€273.95","€261.95","5 verified reviews","Great 8.6"
"1668714271-709","https://www.belsimpel.nl/koptelefoons?lang=en&offer%5B0%5D=Black+Friday&pagina=1","Sony WH-1000XM4 Silver","null","€266.00","3 verified reviews","Fantastic 10"
"1668714276-710","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=4","Beats Studio Buds Blue","€189.95","€141.95","2 verified reviews","Excellent 9.3"
"1668714276-711","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=4","Sony WF-C500 Orange","€99.95","€58.95","No reviews yet","null"
"1668714276-712","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=4","Sony WF-1000XM4 Silver","€209.00","€197.00","No reviews yet","null"
"1668714276-713","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=4","Sony WF-C500 Black","€99.95","€58.95","6 verified reviews","Great 8.6"
"1668714276-714","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=4","Sony LinkBuds S White","€149.00","€118.00","No reviews yet","null"
"1668714276-715","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=4","Trust Primo Touch Wireless Earphones Black","€22.95","€20.95","39 verified reviews","Good 7.8"
"1668714276-716","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=4","Sony WF-C500 White","€99.95","€58.95","2 verified reviews","Good 7.3"
"1668714276-717","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=4","Trust Primo Touch Wireless Earphones Blue","€22.95","€20.95","13 verified reviews","Very good 8.2"
"1668714276-718","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=4","Huawei Freebuds SE Blue","€48.95","€39.95","No reviews yet","null"
"1668714276-719","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=4","Sony LinkBuds S Beige","€149.00","€118.00","No reviews yet","null"
"1668714276-720","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=4","Sony WF-C500 Green","€99.95","€58.95","No reviews yet","null"
"1668714281-721","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=3","Xiaomi Redmi Buds 3 Pro Grey","€62.95","€48.95","25 verified reviews","Great 8.9"
"1668714281-722","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=3","Sony WF-1000XM4 Black","€209.00","€197.00","No reviews yet","null"
"1668714281-723","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=3","Oppo Enco W51 White","€108.95","€43.95","No reviews yet","null"
"1668714281-724","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=3","Google Pixel Buds A-Series White","€99.95","€88.95","20 verified reviews","Great 8.7"
"1668714281-725","https://www.belsimpel.nl/oordopjes?Lang=en&offer%5B0%5D=Black+Friday&pagina=3","Huawei FreeBuds Pro White","€104.95","€93.95","47 verified reviews","Great 8.9"
