name,original_price,sale_price,percent_off,color,reviews,rating
Sony WH-1000XM4 Black,247.0,227.0,8.1,Black,18,9.3
Beats Solo3 Wireless Black,209.95,187.95,10.5,Black,10,9.1
Beats Studio3 Wireless White,273.95,261.95,4.4,White,5,8.6
Sony WH-1000XM4 Silver,,266.0,,Silver,3,10.0
Beats Studio Buds Blue,189.95,141.95,25.3,Blue,2,9.3
Sony WF-C500 Orange,99.95,58.95,41.0,Orange,,
Sony WF-1000XM4 Silver,209.0,197.0,5.7,Silver,,
Sony WF-C500 Black,99.95,58.95,41.0,Black,6,8.6
Sony LinkBuds S White,149.0,118.0,20.8,White,,
Trust Primo Touch Wireless Earphones Black,22.95,20.95,8.7,Black,39,7.8
Sony WF-C500 White,99.95,58.95,41.0,White,2,7.3
Trust Primo Touch Wireless Earphones Blue,22.95,20.95,8.7,Blue,13,8.2
Huawei Freebuds SE Blue,48.95,39.95,18.4,Blue,,
Sony LinkBuds S Beige,149.0,118.0,20.8,Beige,,
Sony WF-C500 Green,99.95,58.95,41.0,Green,,
Xiaomi Redmi Buds 3 Pro Grey,62.95,48.95,22.2,Grey,25,8.9
Sony WF-1000XM4 Black,209.0,197.0,5.7,Black,,
Oppo Enco W51 White,108.95,43.95,59.7,White,,
Google Pixel Buds A-Series White,99.95,88.95,11.0,White,20,8.7
Huawei FreeBuds Pro White,104.95,93.95,10.5,White,47,8.9
Beats Fit Pro Pink,249.95,187.95,24.8,Pink,11,9.2
Xiaomi Buds 3 Black,109.95,71.95,34.6,Black,5,9.7
Huawei Freebuds SE White,,39.95,,White,,
Aukey EP-N5 True Wireless,74.95,48.95,34.7,Wireless,34,8.6
Honor Earbuds 3 Pro White,199.0,157.95,20.6,White,,
Beats Studio Buds Roze,189.95,141.95,25.3,Roze,3,9.7
Honor Earbuds 3 Pro Silver,199.0,157.95,20.6,Silver,4,8.5
Trust Primo Touch Wireless Earphones Pink,23.0,20.95,8.9,Pink,9,8.7
Huawei FreeBuds Pro 2 White,179.95,152.95,15.0,White,,
Xiaomi Buds 3 White,74.95,62.95,16.0,White,2,8.8
Samsung Galaxy Buds Live Grey,69.0,47.95,30.5,Grey,24,8.4
Beats Fit Pro White,249.95,187.95,24.8,White,32,9.0
OnePlus Nord Buds Black,49.0,43.95,10.3,Black,27,9.0
Beats Fit Pro Grey,249.95,187.95,24.8,Grey,57,8.9
Samsung Galaxy Buds 2 Pro White,229.0,166.95,27.1,White,2,9.5
OnePlus Buds Pro White,119.95,107.95,10.0,White,28,9.0
Google Pixel Buds A-Series Black,99.95,88.95,11.0,Black,1,9.0
Samsung Galaxy Buds 2 Pro Purple,229.0,166.95,27.1,Purple,4,9.3
Sony LinkBuds S Black,149.0,118.0,20.8,Black,,
Trust Primo Touch Wireless Earphones White,23.0,15.95,30.7,White,11,7.3
Huawei FreeBuds Pro 2 Silver,179.95,152.95,15.0,Silver,2,9.8
Xiaomi Buds 3T Pro White,119.95,88.95,25.8,White,,
Google Pixel Buds Pro Grey,219.0,177.0,19.2,Grey,,
Beats Powerbeats Pro White,223.95,221.95,0.9,White,11,9.1
Huawei FreeBuds Pro 2 Blue,179.95,152.95,15.0,Blue,3,9.7
Samsung Galaxy Buds 2 Black,119.95,67.95,43.4,Black,233,9.0
Samsung Galaxy Buds Live Bronze,69.0,47.95,30.5,Bronze,180,9.1
Samsung Galaxy Buds Live Black,69.0,47.95,30.5,Black,289,8.9
